GSS_CODE,Code,Area,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018
E09000001,00AA,City of London,0,0,1,8,14,18,28,33,34,35,39,37,36,39,34,31,29,29,30
E09000002,00AB,Barking and Dagenham,4,3,3,5,14,17,21,20,25,33,28,30,27,25,23,19,25,25,24
E09000003,00AC,Barnet,8,8,13,16,20,27,29,31,31,33,33,34,33,36,38,37,37,37,35
E09000004,00AD,Bexley,17,20,23,21,30,38,40,42,51,51,51,54,54,55,54,52,53,52,54
E09000005,00AE,Brent,7,7,8,10,14,20,22,21,28,29,33,37,43,41,35,36,36,37,37
E09000006,00AF,Bromley,13,14,15,20,23,27,32,34,36,40,44,50,49,50,48,46,47,50,50
E09000007,00AG,Camden,16,12,14,19,25,27,28,27,28,30,32,33,31,29,26,25,27,30,31
E09000008,00AH,Croydon,12,12,13,14,13,16,20,23,28,32,34,38,44,42,40,38,39,38,47
E09000009,00AJ,Ealing,12,13,15,15,15,19,25,29,35,38,40,41,41,40,40,43,51,49,53
E09000010,00AK,Enfield,8,13,14,16,24,27,30,28,27,31,32,35,39,39,39,36,37,36,33
E09000011,00AL,Greenwich,5,7,7,12,19,22,24,31,42,35,37,39,40,39,34,35,35,35,33
E09000012,00AM,Hackney,1,1,3,6,12,16,20,22,23,24,25,24,24,25,25,25,27,27,28
E09000013,00AN,Hammersmith and Fulham,8,8,10,16,20,21,24,27,28,27,28,30,23,21,21,22,23,24,24
E09000014,00AP,Haringey,5,5,5,9,14,19,25,26,22,25,28,26,32,36,37,36,36,33,29
E09000015,00AQ,Harrow,11,13,12,16,19,27,28,40,43,46,50,48,45,49,45,41,40,41,40
E09000016,00AR,Havering,6,9,5,8,16,18,20,24,27,34,31,36,35,32,32,32,37,37,37
E09000017,00AS,Hillingdon,13,20,28,34,27,28,31,34,35,41,43,43,43,43,44,44,43,40,37
E09000018,00AT,Hounslow,13,16,20,20,17,19,20,22,24,33,35,35,35,35,35,34,30,30,31
E09000019,00AU,Islington,5,6,6,7,11,18,24,26,28,29,30,32,31,33,33,29,32,29,29
E09000020,00AW,Kensington and Chelsea,8,9,9,15,18,20,24,28,30,31,32,34,26,25,25,26,26,26,27
E09000021,00AX,Kingston upon Thames,20,18,18,19,18,24,24,26,35,46,47,47,46,46,46,46,47,48,49
E09000022,00AY,Lambeth,9,8,10,12,16,22,23,25,26,27,28,28,23,21,28,29,29,30,30
E09000023,00AZ,Lewisham,5,6,7,8,10,12,16,22,21,17,18,17,20,18,17,18,18,22,28
E09000024,00BA,Merton,18,15,15,15,20,23,25,27,30,34,36,37,39,39,38,35,36,37,39
E09000025,00BB,Newham,3,3,5,2,6,10,14,14,15,19,15,23,21,18,17,15,14,14,17
E09000026,00BC,Redbridge,9,10,13,9,16,17,19,22,26,32,28,33,29,29,29,28,27,24,25
E09000027,00BD,Richmond upon Thames,15,19,23,24,24,29,32,36,42,43,43,45,46,43,41,41,42,42,43
E09000028,00BE,Southwark,3,4,4,7,11,15,18,20,21,22,25,27,30,34,35,35,34,35,35
E09000029,00BF,Sutton,25,16,19,25,28,29,30,32,32,38,38,37,37,37,38,35,37,50,49
E09000030,00BG,Tower Hamlets,3,3,3,5,7,9,12,13,19,26,25,27,28,28,28,27,28,26,23
E09000031,00BH,Waltham Forest,9,8,11,12,18,22,28,30,28,28,27,27,31,33,36,35,34,32,32
E09000032,00BJ,Wandsworth,7,8,10,18,17,21,23,25,27,25,27,28,24,20,21,21,22,22,23
E09000033,00BK,Westminster,7,9,10,11,15,18,20,23,23,24,25,25,22,21,19,17,17,19,22
